prototype,normalization__with_std,normalization__with_mean,normalization__type,discretization__type,discretization__n_bins,classification__type,classification__n_neighbors,classification__max_depth,accuracy
normalization_discretization_classification,,,FunctionTransformer,FunctionTransformer,,KNeighborsClassifier,2,,0.6699346405228759
normalization_classification,,,FunctionTransformer,FunctionTransformer,,DecisionTreeClassifier,,14,0.865032679738562
discretization_normalization_classification,False,False,StandardScaler,KBinsDiscretizer,4,DecisionTreeClassifier,,25,-inf
classification,,,FunctionTransformer,FunctionTransformer,,KNeighborsClassifier,2,,0.6699346405228759
discretization_classification,,,FunctionTransformer,FunctionTransformer,,KNeighborsClassifier,3,,0.7209150326797384
classification,,,FunctionTransformer,FunctionTransformer,,KNeighborsClassifier,9,,0.6977124183006536
discretization_normalization_classification,,,MinMaxScaler,FunctionTransformer,,KNeighborsClassifier,29,,0.9663398692810456
discretization_normalization_classification,,,MinMaxScaler,FunctionTransformer,,KNeighborsClassifier,25,,0.9718954248366012
classification,,,MinMaxScaler,FunctionTransformer,,KNeighborsClassifier,28,,0.7143790849673202
normalization_discretization_classification,,,MinMaxScaler,FunctionTransformer,,KNeighborsClassifier,22,,0.9774509803921569
normalization_discretization_classification,,,MinMaxScaler,FunctionTransformer,,KNeighborsClassifier,19,,0.9663398692810456
normalization_discretization_classification,,,MinMaxScaler,FunctionTransformer,,KNeighborsClassifier,25,,0.9718954248366012
normalization_classification,,,MinMaxScaler,FunctionTransformer,,KNeighborsClassifier,22,,0.9774509803921569
discretization_classification,,,MinMaxScaler,FunctionTransformer,,KNeighborsClassifier,22,,0.7199346405228757
normalization_discretization_classification,,,MinMaxScaler,FunctionTransformer,,KNeighborsClassifier,20,,0.9774509803921569
normalization_discretization_classification,,,MinMaxScaler,FunctionTransformer,,KNeighborsClassifier,24,,0.9774509803921569
normalization_discretization_classification,,,MinMaxScaler,FunctionTransformer,,KNeighborsClassifier,21,,0.9774509803921569
normalization_discretization_classification,,,MinMaxScaler,FunctionTransformer,,KNeighborsClassifier,23,,0.9718954248366012
discretization_normalization_classification,,,FunctionTransformer,KBinsDiscretizer,8,KNeighborsClassifier,10,,0.9493464052287581
normalization_classification,,,MinMaxScaler,KBinsDiscretizer,9,KNeighborsClassifier,15,,0.9718954248366012
normalization_classification,,,MinMaxScaler,KBinsDiscretizer,9,KNeighborsClassifier,14,,0.9663398692810456
discretization_classification,,,MinMaxScaler,KBinsDiscretizer,3,DecisionTreeClassifier,,2,-inf
normalization_discretization_classification,True,False,StandardScaler,KBinsDiscretizer,3,KNeighborsClassifier,17,,0.9326797385620915
normalization_classification,,,MinMaxScaler,KBinsDiscretizer,9,KNeighborsClassifier,24,,0.9774509803921569
normalization_classification,,,MinMaxScaler,KBinsDiscretizer,9,KNeighborsClassifier,22,,0.9774509803921569
